"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9232","redirects profiles to auth","chromium","2026-07-17","passed","2026-07-17","Protected route redirects","protected-routes.spec.ts","",""
"","9556","opens the mobile browse menu","chromium","2026-07-17","passed","2026-07-17","Logged-in smoke","smoke\smoke.logged-in.spec.ts","",""
"","31446","moves through real protected pages from the navbar","chromium","2026-07-17","broken","2026-07-17","Logged-in E2E","e2e\E2E.logged-in.spec.ts","",""
"","9231","redirects movies to auth","chromium","2026-07-17","passed","2026-07-17","Protected route redirects","protected-routes.spec.ts","",""
"","32671","search bar sends the user to the search page","chromium","2026-07-17","broken","2026-07-17","Logged-in integration","integration\integration.logged-in.spec.ts","",""
"","8149","redirects favorites to auth","chromium","2026-07-17","passed","2026-07-17","Protected route redirects","protected-routes.spec.ts","",""
"","10999","shows the social sign-in icons","chromium","2026-07-17","failed","2026-07-17","Auth page","auth.spec.ts","",""
"","24460","can return to the home page from the navbar","chromium","2026-07-17","passed","2026-07-17","Logged-in E2E","e2e\E2E.logged-in.spec.ts","",""
"","20979","redirects home to auth","chromium","2026-07-17","passed","2026-07-17","Protected route redirects","protected-routes.spec.ts","",""
"","10201","shows the authenticated navbar on the home page","chromium","2026-07-17","passed","2026-07-17","Logged-in smoke","smoke\smoke.logged-in.spec.ts","",""
"","9825","opens the account menu and shows sign out","chromium","2026-07-17","passed","2026-07-17","Logged-in smoke","smoke\smoke.logged-in.spec.ts","",""
"","10025","lands on the profiles screen after login","chromium","2026-07-17","passed","2026-07-17","Logged-in smoke","smoke\smoke.logged-in.spec.ts","",""
"","6804","redirects watch page to auth","chromium","2026-07-17","passed","2026-07-17","Protected route redirects","protected-routes.spec.ts","",""
"","6786","keeps the logo visible on the auth card","chromium","2026-07-17","passed","2026-07-17","Auth page","auth.spec.ts","",""
"","31014","home page renders mocked trending and favorites data","chromium","2026-07-17","broken","2026-07-17","Logged-in integration","integration\integration.logged-in.spec.ts","",""
"","6391","redirects movie detail to auth","chromium","2026-07-17","passed","2026-07-17","Protected route redirects","protected-routes.spec.ts","",""
"","5214","redirects recommendations to auth","chromium","2026-07-17","passed","2026-07-17","Protected route redirects","protected-routes.spec.ts","",""
"","7029","switches to register mode","chromium","2026-07-17","passed","2026-07-17","Auth page","auth.spec.ts","",""
"","7586","redirects my list to auth","chromium","2026-07-17","passed","2026-07-17","Protected route redirects","protected-routes.spec.ts","",""
"","5591","redirects series to auth","chromium","2026-07-17","passed","2026-07-17","Protected route redirects","protected-routes.spec.ts","",""
"","40364","search page renders mocked movie and series results","chromium","2026-07-17","broken","2026-07-17","Logged-in integration","integration\integration.logged-in.spec.ts","",""
"","6638","redirects new trends to auth","chromium","2026-07-17","passed","2026-07-17","Protected route redirects","protected-routes.spec.ts","",""
"","43298","logs in, opens the app, and signs out","chromium","2026-07-17","broken","2026-07-17","Logged-in E2E","e2e\E2E.logged-in.spec.ts","",""
"","7042","shows the login form by default","chromium","2026-07-17","passed","2026-07-17","Auth page","auth.spec.ts","",""
"","7335","redirects search to auth","chromium","2026-07-17","passed","2026-07-17","Protected route redirects","protected-routes.spec.ts","",""
"","6604","redirects series detail to auth","chromium","2026-07-17","passed","2026-07-17","Protected route redirects","protected-routes.spec.ts","",""
